"ДАТА","ТИП","СО СЧЁТА","НА СЧЁТ / НА КАТЕГОРИЮ","СУММА","ВАЛЮТА","СУММА 2","ВАЛЮТА 2","МЕТКИ","ЗАМЕТКИ"
"31.10.21","Расход","Kaspi Медет ","Автобус (Транспорт)","240","KZT","240","KZT","",""
"31.10.21","Расход","Kaspi Медет ","Досуг","1355","KZT","1355","KZT","","Пиво"
"30.10.21","Расход","Kaspi Медет ","Досуг","1550","KZT","1550","KZT","","Табак"
"30.10.21","Расход","Kaspi Медет ","Здоровье","4582","KZT","4582","KZT","","Тонометр"
"30.10.21","Расход","Kaspi Медет ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"30.10.21","Перевод","Кошелёк ","Kaspi Медет ","9000","KZT","9000","KZT","",""
"30.10.21","Расход","Kaspi Медет ","Продукты","1875","KZT","1875","KZT","",""
"30.10.21","Перевод","Кошелёк ","Kaspi Медет ","1000","KZT","1000","KZT","",""
"29.10.21","Доход","Сбербанк Айкумiс","Зарплата Айкумiс","41898","KZT","41898","KZT","",""
"28.10.21","Расход","Halyk Айкумiс ","Необходимое (Продукты)","540","KZT","540","KZT","",""
"28.10.21","Расход","Kaspi Медет ","Продукты","587","KZT","587","KZT","","К чаю на работу "
"28.10.21","Расход","Kaspi Медет ","Необходимое (Продукты)","310","KZT","310","KZT","","Макароны"
"27.10.21","Перевод","Kaspi Айкумiс ","Наличные Айкумiс ","2000","KZT","2000","KZT","",""
"27.10.21","Расход","Kaspi Медет ","Такси (Транспорт)","350","KZT","350","KZT","",""
"27.10.21","Расход","Kaspi Медет ","Для дома  (Покупки)","150000","KZT","150000","KZT","","Балкон"
"27.10.21","Перевод","Кошелёк ","Kaspi Медет ","150000","KZT","150000","KZT","",""
"27.10.21","Расход","Kaspi Медет ","Такси (Транспорт)","330","KZT","330","KZT","",""
"26.10.21","Расход","Halyk Айкумiс ","Необходимое (Продукты)","2155","KZT","2155","KZT","",""
"26.10.21","Расход","Наличные Айкумiс ","Коррекция","35","KZT","35","KZT","","Тане добавила"
"26.10.21","Расход","Kaspi Айкумiс ","Необходимое (Продукты)","250","KZT","250","KZT","","Бичпакет"
"26.10.21","Расход","Halyk Айкумiс ","Необходимое (Продукты)","882","KZT","882","KZT","","Овощи"
"26.10.21","Расход","Kaspi Медет ","Продукты","225","KZT","225","KZT","","Сметана"
"26.10.21","Расход","Наличные Медет ","Продукты","45","KZT","45","KZT","","Укроп"
"25.10.21","Расход","Kaspi Медет ","Такси (Транспорт)","300","KZT","300","KZT","",""
"25.10.21","Расход","Наличные Медет ","Необязательное (Продукты)","290","KZT","290","KZT","","Салфетки",""
